minute,pangyo_reachable_stations,cheongna_reachable_stations
1,0,0
2,1,0
3,1,0
4,3,0
5,3,1
6,4,1
7,5,1
8,5,2
9,7,2
10,11,2
11,11,2
12,15,4
13,17,5
14,19,5
15,22,6
16,24,7
17,27,8
18,32,12
19,33,14
20,33,16
21,39,16
22,40,18
23,49,22
24,55,26
25,61,30
26,69,34
27,72,39
28,86,44
29,91,45
30,100,49
31,108,50
32,113,55
33,119,57
34,127,60
35,134,64
36,140,68
37,151,73
38,161,78
39,172,81
40,177,87
41,190,91
42,203,97
43,214,106
44,232,114
45,249,129
46,272,137
47,286,160
48,308,171
49,323,184
50,340,193
51,350,203
52,363,215
53,372,223
54,385,236
55,398,246
56,405,257
57,422,271
58,433,281
59,443,291
60,456,303
61,465,315
62,474,325
63,490,337
64,500,353
65,513,365
66,525,383
67,533,395
68,539,408
69,546,418
70,552,434
71,560,442
72,564,456
73,573,471
74,577,480
75,583,488
76,592,502
77,598,511
78,603,523
79,608,538
80,616,545
81,623,556
82,631,566
83,639,578
84,645,585
85,654,594
86,663,603
87,671,611
88,675,621
89,686,627
90,696,637
